Cust_Branch,Cust_Phone,Cust_Name,ReceiptNo,ReceiptDate,Total_Package,Total_Weight,Total_Received_Amount,Deleted_Flag
ï»¿KPO Thamrin City,81387524234,DC HALAL MART ENY ROSE,RTMCL7V5XGY0KE,2021-08-14 13:37:42.353,1,2.0,10000.0,N
KPO Thamrin City,81210899992,GAGIL FASHION,RTMCL7V5XMBGEJ,2021-08-27 11:10:41.583,1,2.0,10000.0,N
KPO Thamrin City,81319426363,KAK DIANA,RTMCL7V5XMM1PE,2021-08-26 10:34:00.383,1,5.0,25000.0,N
KPO Thamrin City,87787060575,AR LABEL STORE,RTMCL7V5XNKNJE,2021-08-23 17:10:22.387,1,1.0,5000.0,N
KPO Thamrin City,8118006543,LANI,RTMCL7V5XNKNXE,2021-08-23 14:59:45.303,1,1.0,5000.0,N
KPO Thamrin City,8566009938,MRRIO_SHOP,RTMCL7V5XKV0VY,2021-08-31 12:51:51.300,1,1.0,5000.0,N
KPO Thamrin City,8121041661,RAUDHAH,RTMCL7V5XMJP0Y,2021-08-25 10:25:00.900,1,1.0,5000.0,N
KPO Thamrin City,813114783320,NAGIB COLLECTION,RTMCL7V5XMM1VE,2021-08-25 10:25:00.901,1,1.0,5000.0,N
KPO Thamrin City,81394519432,D'M SCARF,RTMCL7V5XMY63J,2021-08-25 10:25:00.902,1,1.0,5000.0,N
KPO Thamrin City,81284366390,DELISHA COLLECTION,RTMCL7V5XNVVYJ,2021-08-25 10:25:00.903,1,5.0,25000.0,N
KPO Thamrin City,81931608100,NUNULOLO,RTMCL7V5Y1K0ZE,2021-08-25 10:25:00.904,1,4.0,20000.0,N
KPO Thamrin City,81977777021,AR SCARVES,RTMCL7V5Y4N6BY,2021-08-25 10:25:00.905,1,1.0,5000.0,N
KPO Thamrin City,85811038365,VIENDRA SYARI,RTMCL7V5Y4YJNE,2021-08-25 10:25:00.906,1,5.0,25000.0,N
KPO Thamrin City,858929387540,DSISTA,RTMCL7V5Y775ME,2021-08-25 10:25:00.907,1,1.0,5000.0,N
KPO Thamrin City,81370515247,DENALI / FERY,RTMCL7V5YD4MVY,2021-08-25 10:25:00.908,1,3.0,15000.0,N
KPO Thamrin City,821106310770,EFFONI,RTMCL7V5YJMWQE,2021-08-25 10:25:00.909,1,1.0,5000.0,N
KPO Thamrin City,8128889378,D'LOVERA,RTMCL7V5YJMWYE,2021-08-25 10:25:00.910,1,2.0,10000.0,N
KPO Thamrin City,81294580273,D.A,RTMCL7V5YWKVPY,2021-08-25 10:25:00.911,1,1.0,5000.0,N
KPO Thamrin City,81295382414,IBNU COLLECTION,RTMCL7V5YWKVYY,2021-08-25 10:25:00.912,1,2.0,10000.0,N
KPO Thamrin City,81575020218,UZWAABOUTIQUE,RTMCL7V5YWZM6E,2021-08-25 10:25:00.913,1,1.0,50000.0,N
KPO Thamrin City,82113232097,BOX COLLECTION,RTMCL7V5YWZMKE,2021-08-25 10:25:00.914,1,2.0,10000.0,N
KPO Thamrin City,81319426363,KAK DIANA,RTMCL7V5YXGG9Y,2021-08-25 10:25:00.915,1,2.0,10000.0,N
KPO Thamrin City,812944157040,ALIA,RTMCL7V5YXGGMY,2021-08-25 10:25:00.916,1,15.0,75000.0,N
KPO Thamrin City,81210580030,TOKO MUJAFAR LT.3,RTMCL7V5Z3NEGJ,2021-08-25 10:25:00.917,1,2.0,10000.0,N
KPO Thamrin City,812819997150,GALERY AURASYA,RTMCL7V5Z5E1NY,2021-08-25 10:25:00.918,1,1.0,5000.0,N
KPO Thamrin City,81366093764,BHIRAMA SHIRWAL,RTMCL7V5Z6D9ZE,2021-08-25 10:25:00.919,3,32.0,0.0,N
KPO Thamrin City,896940780690,INDRI,RTMCL7V5Z8GDJJ,2021-08-25 10:25:00.920,1,2.0,5000.0,N
KPO Thamrin City,812829717350,IDA TC,RTMCL7V5ZBK16Y,2021-08-25 10:25:00.921,1,2.0,5000.0,N
KPO Thamrin City,81394519432,D'M SCARF,RTMCL7V5ZBZ35E,2021-08-25 10:25:00.922,1,1.0,5000.0,N
KPO Thamrin City,821135208440,FAISAL,RTMCL7V5ZED7QY,2021-08-25 10:25:00.923,1,1.0,5000.0,N
KPO Thamrin City,81798788930,ZAFIRA,RTMCL7V5ZED7YY,2021-08-25 10:25:00.924,1,1.0,5000.0,N
KPO Thamrin City,857716803820,GHJ,RTMCL7V5ZMW0EG,2021-08-25 10:25:00.925,1,1.0,5000.0,N
KPO Thamrin City,813175179500,WA YAYAH,RTMCL7V5ZN84BE,2021-08-25 10:25:00.926,1,1.0,5000.0,N
KPO Thamrin City,81184669840,AGAZIELY,RTMCL7V5ZN8XQE,2021-08-25 10:25:00.927,1,1.0,5000.0,N
KPO Thamrin City,85697784520,ARSCARVES 41,RTMCL7V5ZN8XYE,2021-08-25 10:25:00.928,1,1.0,5000.0,N
KPO Thamrin City,85770794295000,LANI,RTMCL7V5ZNNYJY,2021-08-25 10:25:00.929,1,1.0,5000.0,N
KPO Thamrin City,856925659,TYARA HIJAB,RTMCL7V5ZNX96J,2021-08-25 10:25:00.930,1,2.0,10000.0,N
KPO Thamrin City,8557070971,OPHIE SHOP,RTMCL7V5ZNX9BG,2021-08-25 10:25:00.931,1,10.0,50000.0,N
KPO Thamrin City,81267222070,QUEEN FATIMAH,RTMCL7V5ZNX9KJ,2021-08-25 10:25:00.932,1,1.0,5000.0,N
KPO Thamrin City,87786615070,AR LABEL STORE,RTMCL7VG83JDEJ,2021-08-25 10:25:00.933,1,1.0,5000.0,N
KPO Thamrin City,822896456780,DATIK OSLO,RTMCL7VG83MMDY,2021-08-25 10:25:00.934,1,1.0,5000.0,N
